emp_no,first_name,last_name,from_date,title,to_date
10001,Georgi,Facello,1986-06-26,Senior Engineer,9999-01-01
10004,Chirstian,Koblick,1995-12-01,Senior Engineer,9999-01-01
10005,Kyoichi,Maliniak,1996-09-12,Senior Staff,9999-01-01
10006,Anneke,Preusig,1990-08-05,Senior Engineer,9999-01-01
10009,Sumant,Peac,1995-02-18,Senior Engineer,9999-01-01
10018,Kazuhide,Peha,1995-04-03,Senior Engineer,9999-01-01
10019,Lillian,Haddadi,1999-04-30,Staff,9999-01-01
10020,Mayuko,Warwick,1997-12-30,Engineer,9999-01-01
10022,Shahaf,Famili,1999-09-03,Engineer,9999-01-01
10023,Bojan,Montemayor,1999-09-27,Engineer,9999-01-01
10026,Yongqiao,Berztiss,2001-03-19,Senior Engineer,9999-01-01
10035,Alain,Chappelet,1996-09-05,Senior Engineer,9999-01-01
10047,Zvonko,Nyanchama,1998-03-31,Senior Engineer,9999-01-01
10051,Hidefumi,Caine,1998-10-15,Senior Engineer,9999-01-01
10053,Sanjiv,Zschoche,1994-11-13,Senior Staff,9999-01-01
10057,Ebbe,Callaway,2000-01-15,Senior Engineer,9999-01-01
10058,Berhard,McFarlin,1988-04-25,Senior Staff,9999-01-01
10059,Alejandro,McAlpine,1991-06-26,Senior Staff,9999-01-01
10063,Gino,Leonhardt,1989-04-08,Senior Engineer,9999-01-01
10066,Kwee,Schusler,1998-02-25,Senior Engineer,9999-01-01
10067,Claudi,Stavenow,1996-03-03,Senior Engineer,9999-01-01
10070,Reuven,Garigliano,1985-10-14,Technique Leader,9999-01-01
10072,Hironoby,Sidou,1995-05-21,Senior Engineer,9999-01-01
10074,Mokhtar,Bernatsky,1990-08-13,Technique Leader,9999-01-01
10076,Erez,Ritzmann,1996-07-15,Senior Engineer,9999-01-01
10088,Jungsoon,Syrzycki,1993-09-02,Senior Staff,9999-01-01
10091,Amabile,Gomatam,2001-11-18,Senior Engineer,9999-01-01
10096,Jayson,Mandell,1999-01-23,Engineer,9999-01-01
10097,Remzi,Waschkowski,1996-09-14,Senior Staff,9999-01-01
10100,Hironobu,Haraldson,1994-09-21,Senior Staff,9999-01-01
10103,Akemi,Birch,1998-01-12,Engineer,9999-01-01
10106,Eben,Aingworth,1997-10-26,Senior Engineer,9999-01-01
10126,Kayoko,Valtorta,1991-09-08,Senior Staff,9999-01-01
10127,Subir,Baja,1991-05-17,Senior Engineer,9999-01-01
10129,Armond,Peir,1996-01-16,Technique Leader,9999-01-01
10130,Nishit,Casperson,1988-06-21,Senior Engineer,9999-01-01
10134,Diederik,Siprelle,1994-12-12,Senior Engineer,9999-01-01
10138,Perry,Shimshoni,2001-03-03,Senior Engineer,9999-01-01
10150,Zhenbing,Perng,1995-11-16,Senior Engineer,9999-01-01
10153,Heekeun,Majewski,2000-01-08,Assistant Engineer,9999-01-01
10157,Nigel,Aloisi,1997-12-10,Senior Engineer,9999-01-01
10159,Serif,Buescher,1996-06-12,Senior Engineer,9999-01-01
10160,Debatosh,Khasidashvili,2000-12-06,Senior Staff,9999-01-01
10163,Karsten,Szmurlo,1992-02-02,Senior Staff,9999-01-01
10166,Samphel,Siegrist,1996-09-02,Engineer,9999-01-01
10183,Mechthild,Bonifati,1996-08-11,Staff,9999-01-01
10194,Josyula,Hofmeyr,2002-02-14,Senior Staff,9999-01-01
10196,Marc,Hellwagner,1999-01-31,Staff,9999-01-01
10198,Pranav,Furedi,1993-08-31,Senior Engineer,9999-01-01
10203,Steen,Escriba,1995-04-06,Senior Staff,9999-01-01
10205,Mabhin,Leijenhorst,1993-08-23,Senior Engineer,9999-01-01
10207,Girolamo,Anandan,1997-10-11,Senior Engineer,9999-01-01
10215,Xiaobin,Duclos,1991-11-23,Senior Staff,9999-01-01
10219,Genta,Kolvik,1993-03-31,Senior Staff,9999-01-01
10224,Leon,Trogemann,1996-01-09,Senior Engineer,9999-01-01
10228,Karoline,Cesareni,1998-12-22,Senior Staff,9999-01-01
10230,Clyde,Vernadat,2002-06-16,Senior Staff,9999-01-01
10233,Lein,Vendrig,2000-04-28,Senior Staff,9999-01-01
10239,Nikolaos,Llado,1996-05-04,Staff,9999-01-01
10240,Remko,Maccarone,1998-10-06,Engineer,9999-01-01
10248,Frederique,Tempesti,1997-08-12,Senior Staff,9999-01-01
10249,Marie,Boreale,2000-12-07,Senior Engineer,9999-01-01
10258,Basil,Ishibashi,1997-05-16,Senior Engineer,9999-01-01
10262,Mahendra,Maraist,1996-01-22,Staff,9999-01-01
10272,Yishai,Cannane,1997-10-23,Staff,9999-01-01
10281,Moty,Kusakari,2000-12-02,Senior Engineer,9999-01-01
10282,Hercules,Benzmuller,2001-05-02,Engineer,9999-01-01
10283,Kauko,Birjandi,1995-05-26,Senior Engineer,9999-01-01
10284,Masali,Murrill,1999-07-06,Engineer,9999-01-01
10295,Kristine,Velardi,2000-06-18,Senior Staff,9999-01-01
10298,Dietrich,DuCasse,1999-04-27,Staff,9999-01-01
10306,Heng,Kilgour,1993-09-06,Staff,9999-01-01
10307,Nikolaos,Leaver,1999-10-16,Engineer,9999-01-01
10322,Isamu,Dahlbom,1997-01-29,Senior Engineer,9999-01-01
10325,Arunachalam,Badr,1990-09-20,Senior Staff,9999-01-01
10326,Masali,Czap,1998-09-02,Staff,9999-01-01
10328,Serenella,Kawashima,1998-07-17,Engineer,9999-01-01
10333,Snehasis,Dymetman,1998-01-16,Senior Engineer,9999-01-01
10340,Djelloul,Laventhal,1993-03-30,Senior Staff,9999-01-01
10343,Dinah,Syrzycki,1997-10-03,Senior Engineer,9999-01-01
10347,Pradeep,Kaminger,1998-02-20,Staff,9999-01-01
10349,Oksana,Brodie,1997-09-27,Senior Staff,9999-01-01
10353,Phule,Hammerschmidt,1989-08-24,Senior Staff,9999-01-01
10355,Satyanarayana,Cochrane,1996-01-26,Staff,9999-01-01
10356,Vasilis,Standera,1995-06-26,Senior Staff,9999-01-01
10358,Qunsheng,Tagansky,1991-02-19,Technique Leader,9999-01-01
10364,Nakhoon,Dengi,1985-11-14,Senior Engineer,9999-01-01
10367,Hyuckchul,Gini,2000-06-23,Senior Staff,9999-01-01
10372,Anneli,Frijda,1985-07-30,Technique Leader,9999-01-01
10377,Marl,Grospietsch,1996-08-24,Senior Engineer,9999-01-01
10387,Parto,Wrigley,1999-01-07,Senior Staff,9999-01-01
10388,Hironoby,Kaiser,1999-05-28,Staff,9999-01-01
10389,Make,Peir,1999-05-13,Technique Leader,9999-01-01
10396,Sibyl,Rahier,1986-01-11,Senior Engineer,9999-01-01
10397,Irena,Reutenauer,1993-05-21,Technique Leader,9999-01-01
10402,Volkmar,Ebeling,1987-01-02,Technique Leader,9999-01-01
10404,Prodip,Rosti,1996-08-28,Senior Engineer,9999-01-01
10407,Ulf,Siepmann,1999-10-30,Senior Staff,9999-01-01
10413,Danel,Impagliazzo,1997-12-26,Senior Staff,9999-01-01
10418,Candida,Porotnikoff,1996-10-04,Staff,9999-01-01
10422,Greger,Rubsam,1995-01-03,Engineer,9999-01-01
10426,Arunas,Luce,1985-07-06,Technique Leader,9999-01-01
10429,Martien,Improta,1988-09-23,Senior Engineer,9999-01-01
10432,Hisao,Tiemann,1996-08-12,Senior Staff,9999-01-01
10433,Reuven,Dengi,1999-11-27,Engineer,9999-01-01
10451,Bodh,Ranta,1998-03-12,Senior Engineer,9999-01-01
10453,Tsvetan,Matzel,1993-04-02,Senior Staff,9999-01-01
10463,Ung,Zaiane,1994-02-17,Staff,9999-01-01
10477,Guoxiang,Trogemann,2002-05-26,Senior Engineer,9999-01-01
10486,Amstein,Kossowski,1996-10-07,Senior Engineer,9999-01-01
10494,Yakkov,Servieres,2000-12-17,Senior Engineer,9999-01-01
10497,Pramod,Rabehasaina,1999-01-22,Senior Engineer,9999-01-01
10499,Maik,Luft,2001-07-31,Senior Staff,9999-01-01
10503,Dannz,Pell,1997-03-13,Engineer,9999-01-01
10504,Xiong,Varker,1999-10-19,Staff,9999-01-01
10509,Abdelwaheb,Riesenhuber,1997-10-06,Senior Staff,9999-01-01
10512,Udi,Gihr,1998-11-28,Senior Staff,9999-01-01
10517,Tiina,Speek,1990-12-25,Senior Staff,9999-01-01
10522,Marke,Cesareni,1995-12-12,Senior Staff,9999-01-01
10529,Ymte,Yetto,1997-07-04,Assistant Engineer,9999-01-01
10531,Oguz,Gimbel,1995-03-16,Staff,9999-01-01
10542,Yannis,Couchot,1992-02-07,Senior Engineer,9999-01-01
10548,Ramalingam,Gunderson,1993-07-04,Senior Staff,9999-01-01
10552,Kazuhito,Shiratori,1998-08-31,Senior Engineer,9999-01-01
10564,Jianhao,Thisen,2000-11-22,Senior Engineer,9999-01-01
10568,Gao,Poulakidas,1995-07-08,Staff,9999-01-01
10586,Kirk,Vuskovic,2000-02-04,Senior Engineer,9999-01-01
10593,Falguni,Kenevan,1999-09-12,Senior Engineer,9999-01-01
10596,Sanjit,Coors,2001-05-23,Senior Staff,9999-01-01
10603,Wayne,Restivo,1995-07-20,Staff,9999-01-01
10610,Irena,Roccetti,1997-03-30,Engineer,9999-01-01
10614,Gila,Ozeri,1998-03-03,Senior Engineer,9999-01-01
10615,Keung,Delgrande,2002-03-10,Senior Staff,9999-01-01
10623,Aleksander,Danlos,1999-01-15,Senior Engineer,9999-01-01
10624,Sham,Gyorkos,1990-05-07,Technique Leader,9999-01-01
10628,Krisda,Krogh,2001-03-14,Senior Engineer,9999-01-01
10630,Bezalel,Katzenelson,1997-01-13,Engineer,9999-01-01
10631,Inderjeet,Chaudhuri,1994-10-18,Engineer,9999-01-01
10634,Nahid,Chepyzhov,2000-11-10,Senior Engineer,9999-01-01
10636,Saeko,Porotnikoff,1996-09-25,Staff,9999-01-01
10639,Pramod,Erol,1999-10-26,Senior Engineer,9999-01-01
10641,Guozhong,Zucker,1999-03-21,Engineer,9999-01-01
10642,Hirochika,Narlikar,1998-10-05,Engineer,9999-01-01
10653,Otmar,Feinberg,1987-04-30,Senior Engineer,9999-01-01
10667,Makato,Cusworth,1999-07-28,Senior Staff,9999-01-01
10671,Parviz,Rebaine,2001-09-13,Senior Staff,9999-01-01
10676,Valeri,Danley,1999-09-04,Engineer,9999-01-01
10683,Guiseppe,Stranks,1997-06-23,Senior Engineer,9999-01-01
10693,Berhard,Daescu,1991-01-08,Senior Staff,9999-01-01
10696,Unal,Fendler,1991-09-09,Technique Leader,9999-01-01
10702,Bader,Szemeredi,1991-01-14,Senior Engineer,9999-01-01
10712,Uma,Koprowski,2001-08-18,Senior Engineer,9999-01-01
10718,Adib,Rullman,1997-07-21,Senior Engineer,9999-01-01
10726,Zita,Minakawa,2001-02-24,Senior Engineer,9999-01-01
10734,Sachar,Erdi,1995-12-19,Engineer,9999-01-01
10741,Sven,Huttel,1997-01-06,Senior Staff,9999-01-01
10742,Shim,Wiegley,1997-04-03,Technique Leader,9999-01-01
10745,Poorav,Ranze,1997-01-22,Senior Engineer,9999-01-01
10749,King,Brendel,1990-09-26,Senior Engineer,9999-01-01
10750,Roddy,Demeyer,1998-11-06,Technique Leader,9999-01-01
10764,Yunming,Beetstra,1998-11-27,Senior Engineer,9999-01-01
10767,Monique,Doering,1997-07-15,Staff,9999-01-01
10768,Ishfaq,Candan,1990-07-04,Senior Engineer,9999-01-01
10778,Selwyn,Merey,1986-07-04,Senior Staff,9999-01-01
10791,Tadahiko,Sgarro,1995-07-31,Senior Engineer,9999-01-01
10795,Supot,Naudin,1999-05-03,Senior Staff,9999-01-01
10808,Chenxi,Leijenhorst,1987-03-07,Senior Engineer,9999-01-01
10811,Ashish,Fortenbacher,1997-07-08,Engineer,9999-01-01
10813,Shalesh,Shumilov,1990-04-27,Senior Staff,9999-01-01
10814,Nidapan,Dymetman,1998-07-17,Senior Staff,9999-01-01
10826,Arnd,Anandan,1993-01-22,Senior Engineer,9999-01-01
10827,Willard,Danley,1996-11-07,Staff,9999-01-01
10830,Fen,Fiebach,1997-08-23,Senior Staff,9999-01-01
10831,Toong,Driscoll,1998-02-22,Technique Leader,9999-01-01
10833,Krisda,Gecseg,1998-12-23,Technique Leader,9999-01-01
10834,Huiqun,Rajcani,1999-11-24,Engineer,9999-01-01
